Epoch	cost
1	17270.61
2	6776.9604
3	3536.5972
4	1494.0565
5	1135.238
6	1068.9093
7	677.2611
8	466.0992
9	204.17978
10	418.04364
11	145.46661
12	203.16661
13	262.1737
14	169.75797
15	74.40767
16	512.8556
17	67.464134
18	86.74367
19	97.83204
20	32.753483
21	75.198715
22	11.130133
23	37.06166
24	20.15476
25	21.456873
26	48.79565
27	35.881134
28	7.739027
29	6.3364034
30	16.58393
31	8.1475
32	75.43312
33	44.507336
34	3.593055
35	8.889512
36	5.6645727
37	11.350888
38	4.84029
39	4.9636683
40	4.4801416
41	3.1037471
42	3.1512775
43	2.6533601
44	3.0668197
45	2.603462
46	3.097178
47	13.876882
48	3.1777742
49	2.8890269
50	3.5737438
51	7.1596375
52	22.525549
53	4.177234
54	1.5332718
55	1.4847032
56	1.7125832
57	1.6166923
58	1.5279253
59	1.6728562
60	2.5796926
61	1.3915046
62	1.413556
63	1.1510738
64	1.1557894
65	0.9896606
66	1.0338871
67	1.3289596
68	1.3720376
69	1.0023171
70	0.7658782
71	0.93205893
72	0.7551816
73	0.7157065
74	0.670081
75	0.5426815
76	1.6984555
77	2.9556231
78	1.0370071
79	20.42462
80	0.8874973
81	0.72550094
82	16.846802
83	0.51037174
84	0.7164268
85	2.34824
86	0.5951319
87	0.49496266
88	0.41534215
89	0.53819096
90	0.89020914
91	2.0355196
92	0.4569572
93	0.5027245
94	0.5932976
95	6.5774703
96	12.739357
97	0.5922504
98	0.423668
99	0.35917705
100	0.34054282
101	0.38672417
102	0.6820549
103	0.3896247
104	0.57635945
105	0.2677965
106	0.2934636
107	0.41783217
108	0.45428327
109	0.7847555
110	0.32381007
111	0.5407472
112	0.34552094
113	0.5480345
114	0.19576864
115	0.7270216
116	0.53156215
117	0.2964042
118	0.22291635
119	0.30096465
120	0.2657224
121	0.50487345
122	0.26691473
123	0.5066463
124	0.52664787
125	0.6184588
126	0.36738926
127	0.5789732
128	0.5904373
129	0.3863819
130	0.51524526
131	0.66522956
132	0.53117365
133	0.3312818
134	0.31153765
135	0.51340944
136	0.61733395
137	0.38123876
138	0.5494459
139	0.53236353
140	0.30311328
141	0.4143039
142	0.49415803
143	0.3852144
144	0.36127555
145	0.33988866
146	0.21047427
147	0.26833186
148	0.58788306
149	0.5072142
150	0.5556625
151	0.64790195
152	0.49854767
153	0.3900196
154	0.39302653
155	0.42927447
156	0.23316453
157	0.36993358
158	0.39460862
159	0.43793952
160	0.43707156
161	0.4239341
162	0.6557908
163	0.39560634
164	0.70359635
165	0.56387645
166	0.52355117
167	0.49045742
168	0.28544253
169	0.6549441
170	0.4699459
171	0.37592754
172	0.36577222
173	0.23407337
174	0.3724499
175	0.46627036
176	0.35849467
177	0.36928824
178	0.37501103
179	0.37012872
180	0.47887495
181	0.32779697
182	0.33854243
183	0.18274212
184	0.29806772
185	0.27249476
186	0.31328067
187	0.45414087
188	0.36773437
189	0.2794381
190	0.36077592
191	0.36261576
192	0.22522669
193	0.36541283
194	0.2463441
195	0.36456275
196	0.45634633
197	0.33308947
198	0.32614553
199	0.44220123
200	0.28825969
201	0.19115423
202	0.37701064
203	0.4740593
204	0.3136937
205	0.30280632
206	0.39556354
207	0.35776955
208	0.3153606
209	0.48304996
210	0.24860288
211	0.44830114
212	0.36010364
213	0.23503421
214	0.22628878
215	0.44340688
216	0.35604265
217	0.30893055
218	0.26743668
219	0.22074032
220	0.34763202
221	0.26669547
222	0.24272801
223	0.25975928
224	0.30614448
225	0.29987678
226	0.23117456
227	0.21957292
228	0.21376567
229	0.32811618
230	0.23439567
231	0.30608916
232	0.23706499
233	0.26936764
234	0.15090065
235	0.28172672
236	0.25080472
237	0.232549
238	0.39638877
239	0.26060945
240	0.18333282
241	0.30577847
242	0.33408448
243	0.20022488
244	0.10287002
245	0.18249367
246	0.19226982
247	0.26793614
248	0.25896758
249	0.3564287
250	0.43009326
251	0.20617367
252	0.1838079
253	0.17213051
254	0.15112104
255	0.23311254
256	0.16839431
257	0.18401565
258	0.22359073
259	3.819379
260	0.28596854
261	0.21213616
262	0.19801617
263	0.18753777
264	0.2497847
265	0.16165061
266	0.15874895
267	0.16966848
268	0.282561
269	0.19712259
270	0.17555334
271	0.156911
272	0.1348196
273	0.20039798
274	0.1560647
275	0.16495013
276	0.22852395
277	0.1509443
278	0.19865906
279	0.15908413
280	0.20145254
281	0.13028188
282	0.23782872
283	0.18393831
284	0.16663621
285	0.22259541
286	0.33367172
287	0.10290755
288	0.16611023
289	0.23722057
290	0.15550117
291	0.096145734
292	0.14903785
293	0.22095682
294	0.18608142
295	0.09456027
296	0.19420503
297	0.16378503
298	0.17315112
299	0.13594155
300	0.08045535
301	0.14166136
302	0.21183267
303	0.16189243
304	0.16398548
305	0.2015569
306	0.07992904
307	0.1929381
308	0.25747395
309	0.1491721
310	0.08865611
311	0.16904807
312	0.17564012
313	0.25371745
314	0.22911666
315	0.12289501
316	0.28582105
317	0.2193509
318	0.095024586
319	0.14635584
320	0.15137433
321	0.074511744
322	0.11614277
323	0.17890532
324	0.14236125
325	0.11160098
326	0.1642968
327	0.12492861
328	0.10894567
329	0.14105922
330	0.22354428
331	0.10054259
332	0.13964637
333	0.14482377
334	0.14317243
335	0.09132075
336	0.085666105
337	0.17405468
338	0.13229237
339	0.16298313
340	0.15886709
341	0.13725929
342	0.15310016
343	0.10846276
344	0.13580498
345	0.19017495
346	0.1276853
347	0.07335502
348	0.13662389
349	0.14780326
350	0.19180658
351	0.12676693
352	0.10766419
353	0.121031515
354	0.09418424
355	0.101621024
356	0.146111
357	0.1394991
358	0.15467873
359	0.22910808
360	0.13334385
361	0.18931314
362	0.23711035
363	0.16210398
364	0.109290205
365	0.19128016
366	0.06492982
367	0.10567389
368	0.11413188
369	0.13952985
370	0.09113947
371	0.09967802
372	0.07690183
373	0.1339659
374	0.082853995
375	0.19687535
376	0.1630311
377	0.21759553
378	0.11745357
379	0.117202714
380	0.20433639
381	0.08996519
382	0.15643391
383	0.115351655
384	0.16394912
385	0.0866291
386	0.09917166
387	0.09742118
388	0.13053396
389	0.13233495
390	0.09095676
391	0.13361508
392	0.12880726
393	0.08829336
394	0.059010018
395	0.102213986
396	0.14545873
397	0.08376927
398	0.09324609
399	0.17950118
400	0.08630082
401	0.13651547
402	0.077892534
403	0.0875908
404	0.112301394
405	0.10214368
406	0.18340845
407	0.1521802
408	0.15349981
409	0.14146788
410	0.16740975
411	0.115767
412	0.11972528
413	0.120565645
414	0.09596139
415	0.11440516
416	0.13928889
417	0.08950332
418	0.090765536
419	0.09442823
420	0.18321304
421	0.12226214
422	0.08596324
423	0.107691266
424	0.17400461
425	0.2617304
426	0.23227517
427	0.1728125
428	0.08576629
429	0.07097489
430	0.15663005
431	0.095242634
432	0.076349385
433	0.08836344
434	0.1606236
435	0.070164084
436	0.1071319
437	0.16097338
438	0.107798204
439	0.11517265
440	0.15895763
441	0.063003436
442	0.11063575
443	0.09765146
444	0.097574055
445	0.19727235
446	0.09164224
447	0.07389424
448	0.05756344
449	0.08606071
450	0.2534516
451	0.10314366
452	0.18186362
453	0.087080605
454	0.18039477
455	0.14115025
456	0.14757055
457	0.059836093
458	0.21705098
459	0.14378485
460	0.16074921
461	0.089578316
462	0.23547603
463	0.1434757
464	0.08835599
465	0.07954701
466	0.12269826
467	0.08112471
468	0.14601605
469	0.10129309
470	0.060773402
471	0.11033701
472	0.07233666
473	0.07850854
474	0.13194045
475	0.084719405
476	0.09560166
477	0.169977
478	0.14150465
479	0.12188451
480	0.055829205
481	0.1762306
482	0.11103844
483	0.15888877
484	0.09768258
485	0.11351418
486	0.13217618
487	0.14697689
488	0.14480472
489	0.13708235
490	0.11942763
491	0.20709378
492	0.14274603
493	0.121428065
494	0.20321569
495	0.20387416
496	0.07477069
497	0.15222585
498	0.06919442
499	0.20347807
500	0.12251441
501	0.24194726
502	0.1603076
503	0.1384111
504	0.0752144
505	0.07040069
506	0.09658385
507	0.13894485
508	0.107514516
509	0.19384865
510	0.13418378
511	0.14347766
512	0.07297245
513	0.13251874
514	0.11829037
515	0.09072036
516	0.14884897
517	0.06062731
518	0.12436747
519	0.12442269
520	0.11477022
521	0.13129811
522	0.28674632
523	0.0816156
524	0.07447801
525	0.14778279
526	0.07219429
527	0.090327926
528	0.19347115
529	0.04621906
530	0.06872948
531	0.09287999
532	0.08788665
533	0.16325198
534	0.07287854
535	0.06382767
536	0.101544194
537	0.17572603
538	0.09613655
539	0.07752671
540	0.17887124
541	0.10649838
542	0.080671445
543	0.21991101
544	0.080931686
545	0.20298786
546	0.10775237
547	0.07715074
548	0.04413731
549	0.069079354
550	0.18592843
551	0.19311944
552	0.10058768
553	0.11014335
554	0.072612256
555	0.05079538
556	0.13937181
557	0.0637667
558	0.12924615
559	0.07501881
560	0.08185779
561	0.1287838
562	0.073698595
563	0.11244631
564	0.10419111
565	0.066314094
566	0.120819286
567	0.1511643
568	0.13299331
569	0.09240441
570	0.15583758
571	0.10944408
572	0.075017504
573	0.10552535
574	0.10104635
575	0.11319343
576	0.10890706
577	0.11731415
578	0.06521092
579	0.08513496
580	0.09093337
581	0.20334992
582	0.11698864
583	0.060600728
584	0.072176866
585	0.14952362
586	0.12889543
587	0.106069215
588	0.20797929
589	0.13505253
590	0.17072774
591	0.1542053
592	0.18999071
593	0.104066186
594	0.096207716
595	0.049107734
596	0.19502671
597	0.07115366
598	0.05406503
599	0.05432383
600	0.10870407
601	0.08136996
602	0.106357686
603	0.09784108
604	0.14446492
605	0.07499599
606	0.074797034
607	0.110379726
608	0.09036051
609	0.108443186
610	0.04747493
611	0.070251696
612	0.102450445
613	0.06554437
614	0.0648453
615	0.08801856
616	0.08576984
617	0.124082565
618	0.11993804
619	0.10347666
620	0.119893365
621	0.115063384
622	0.057032544
623	0.10037529
624	0.107300624
625	0.14288417
626	0.08608322
627	0.10089754
628	0.084362
629	0.17621878
630	0.1515009
631	0.08669377
632	0.06631197
633	0.15025678
634	0.07935733
635	0.07298697
636	0.17111553
637	0.04602169
638	0.06468043
639	0.11943868
640	0.082322486
641	0.08901534
642	0.14287789
643	0.12232826
644	0.06818794
645	0.12952709
646	0.06522259
647	0.12364216
648	0.13622916
649	0.10749658
650	0.09134441
651	0.15505047
652	0.21005735
653	0.17117685
654	0.14253765
655	0.071620695
656	0.15771739
657	0.13515559
658	0.09970101
659	0.15022342
660	0.185088
661	0.103329904
662	0.16707234
663	0.11112207
664	0.12484272
665	0.13681646
666	0.12333043
667	0.058504652
668	0.18925269
669	0.12683165
670	0.112311594
671	0.13961431
672	0.09843252
673	0.1063674
674	0.080372356
675	0.08439489
676	0.1406279
677	0.1131557
678	0.17715731
679	0.10634719
680	0.09330449
681	0.08760081
682	0.07267866
683	0.09293725
684	0.07245498
685	0.14167944
686	0.0924854
687	0.11329199
688	0.11202699
689	0.07611317
690	0.19096951
691	0.12447886
692	0.06780239
693	0.12702554
694	0.08264805
695	0.22112389
696	0.06898035
697	0.09652789
698	0.08894128
699	0.16165595
700	0.07961217
701	0.18718633
702	0.06672314
703	0.11254831
704	0.1374141
705	0.07316973
706	0.06496413
707	0.1373487
708	0.08972724
709	0.109114274
710	0.17648767
711	0.12036282
712	0.13001321
713	0.16703127
714	0.111099966
715	0.09112073
716	0.118993305
717	0.080062866
718	0.10692337
719	0.09614275
