Epoch	cost
1	77984.85
2	44688.95
3	24941.4
4	16265.829
5	8268.842
6	4182.9014
7	3164.0251
8	3771.0745
9	1273.1398
10	854.9126
11	1050.2539
12	1246.5656
13	649.4343
14	805.33185
15	324.57822
16	229.24486
17	939.6131
18	430.44757
19	374.0916
20	186.58784
21	122.00243
22	111.64003
23	240.64215
24	198.26764
25	60.55386
26	51.0886
27	64.02108
28	1233.7068
29	46.824844
30	227.04097
31	1263.4323
32	9.219592
33	288.79468
34	123.386375
35	14.699246
36	130.02625
37	95.87217
38	71.80411
39	32.56619
40	207.35031
41	35.38893
42	468.2551
43	21.403627
44	105.998566
45	325.31046
46	177.34065
47	32.51316
48	30.538488
49	31.713482
50	4.136954
51	4.2134485
52	28.871122
53	23.019312
54	14.645965
55	4.487377
56	7.4465513
57	5.916271
58	5.0873485
59	5.201688
60	9.787295
61	3.7663763
62	69.39558
63	4.343174
64	9.767843
65	3.633582
66	2.230906
67	3.4969313
68	4.52755
69	3.0526993
70	2.4813209
71	3.1645205
72	5.479569
73	21.139997
74	16.164162
75	2.340924
76	44.09861
77	4.744905
78	58.598595
79	2.8908355
80	2.8172922
81	2.1236663
82	2.4941058
83	2.091646
84	2.4353502
85	2.4936254
86	1.9107112
87	25.861965
88	1.8868235
89	2.409926
90	1.9203501
91	2.1066046
92	2.242743
93	2.6705048
94	2.2749932
95	2.2363477
96	2.0007012
97	1.742347
98	1.5765488
99	34.014435
100	33.21308
101	1.1630876
102	1.4427578
103	1.4212998
104	1.3899704
105	1.5366422
106	14.869362
107	1.6188673
108	1.3549861
109	1.0020422
110	1.287963
111	34.976448
112	1.4277569
113	0.7967262
114	0.7752679
115	1.0159918
116	1.2600794
117	1.3298421
118	1.0449011
119	1.0637879
120	2.2382867
121	0.6886582
122	1.1577564
123	0.79681146
124	1.2895559
125	0.99602175
126	0.72505486
127	0.78176135
128	0.49654922
129	0.794594
130	0.6009007
131	0.77735966
132	0.73941797
133	0.4337014
134	0.541233
135	0.4753276
136	0.41639528
137	0.27608797
138	0.4771804
139	0.61251044
140	0.45949844
141	0.5026525
142	0.39818308
143	0.74742573
144	0.68639004
145	0.4933135
146	0.4021011
147	0.49947888
148	0.29205856
149	0.33897814
150	0.41013673
151	0.51972467
152	0.20104451
153	0.57442176
154	0.23747243
155	0.38798
156	0.5066401
157	0.64754313
158	0.28399238
159	0.5325287
160	0.2732736
161	0.5246317
162	0.42912778
163	0.49203163
164	0.27617866
165	0.37165427
166	0.3701853
167	0.60808355
168	0.27937892
169	0.48892802
170	0.39905939
171	0.53647053
172	0.5595468
173	20.23178
174	0.3527378
175	0.31043446
176	0.49217606
177	0.46746752
178	0.41376355
179	0.35213843
180	0.52095276
181	0.36924645
182	0.30262154
183	0.59864134
184	0.6859638
185	0.268344
186	0.45311195
187	0.5263191
188	0.47307414
189	0.5483356
190	0.5230366
191	0.50931674
192	0.49593186
193	0.22143598
194	0.46989307
195	0.70081365
196	0.40349936
197	0.53522605
198	0.393054
199	0.36147797
200	0.43499997
201	0.28000072
202	0.59979653
203	0.39703453
204	0.5013266
205	0.52494025
206	0.38088134
207	0.56338084
208	0.5751665
209	0.43882403
210	0.6523874
211	0.42046335
212	0.43912926
213	0.23431732
214	0.27582833
215	0.2551343
216	0.5624282
217	0.45978206
218	0.4149115
219	0.23060131
220	0.3960152
221	0.32939407
222	0.3794103
223	0.2934338
224	0.34438586
225	0.27882642
226	0.3560893
227	0.39537853
228	0.23908365
229	0.4289302
230	0.4678242
231	0.24196503
232	0.38879976
233	0.29336843
234	0.16176169
235	0.3345032
236	0.32144377
237	0.39046246
238	0.24785738
239	0.36805257
240	0.29396132
241	0.39826158
242	0.30253103
243	0.4756832
244	0.27822927
245	0.2774562
246	0.278004
247	0.32136935
248	0.21000522
249	0.38610524
250	0.30841672
251	0.24426946
252	0.24735783
253	0.36169666
254	0.39987302
255	0.15093225
256	0.28771758
257	0.22724831
258	0.27592024
259	0.24185649
260	0.36276498
261	0.317388
262	0.13564758
263	0.27283543
264	0.13074908
265	0.20402282
266	0.3680173
267	0.34356022
268	0.25544462
269	0.2573789
270	0.30388612
271	0.2531159
272	0.25552556
273	0.39704344
274	0.16429786
275	0.2535379
276	0.21978769
277	0.3839251
278	0.37244076
279	0.15683372
280	0.35802028
281	0.44641852
282	0.22505102
283	0.26667726
284	0.37587604
285	0.23083436
286	0.19609822
287	0.18686715
288	0.3837187
289	0.2566435
290	0.26401436
291	0.23133987
292	0.2685633
293	0.2814042
294	0.29947618
295	0.15300772
296	0.14350288
297	0.21904273
298	0.16504319
299	0.18774223
300	0.28171617
301	0.2695873
302	0.19554934
303	0.2570486
304	0.2729325
305	0.21540259
306	0.23106168
307	0.24935652
308	0.34921485
309	0.23591502
310	0.16311115
311	0.27585027
312	0.34186915
313	0.15577117
314	0.21487962
315	0.18499945
316	0.20739856
317	0.26656216
318	0.20256089
319	0.20251739
320	0.18895921
321	0.17758046
322	0.27268454
323	0.13185002
324	0.21109799
325	0.26501825
326	0.30187228
327	0.23240243
328	0.16394605
329	0.115545355
330	0.16941649
331	0.17929868
332	0.21568722
333	0.30461457
334	0.2682086
335	0.14880891
336	0.24337313
337	0.21127129
338	0.4016034
339	0.15318508
340	0.118742
341	0.25150794
342	0.16051413
343	0.1896117
344	0.26828578
